word,frequency
nominadas,1
monseñor,2
sergio,60
valech,13
aldunate,4
doña,4
maría,63
luisa,2
sepúlveda,17
edwards,2
vicepresidenta,7
miguel,73
luis,268
amunátegui,2
monckeberg,2
luciano,5
fouillioux,2
fernández,31
josé,337
antonio,145
gómez,14
urrutia,10
elizabeth,4
lira,9
kornfeld,2
lucas,3
sierra,8
iribarren,2
álvaro,9
varela,5
walker,5
labores,21
desempeñaron,4
adhonorem10,1
ejecutivas,1
modificación,8
abril,52
permitió,32
financiar,2
gastos,3
incurrieron,4
correspondió,13
proveer,4
recursos,55
requeridos,16
efecto,102
27,134
específicas,31
derivan,4
cuentran,1
aprobó,8
aprobar,6
modificar,7
clarificar,2
susci,1
te,42
interpretación,5
criterios,24
calificar,21
condición,42
fijar,4
validación,12
acre,2
diten,1
evaluación,4
alcanzar,19
convicción,793
establecer,81
relativos,18
sistema,60
miento,33
selección,5
profesional,25
sirva,2
dispone,19
sexto,4
solicitar,19
informes,37
documentos,61
autoridades,261
servicios,90
menos,135
genérica,7
específicamente,20
hubiere,14
delegado,19
atribución,3
emitir,6
comunicados,7
quién,13
suscribirá,1
organismo,77
encomendar,1
terminada,3
función,37
diligencia,13
demás,82
incorpore,2
tabla,8
traí,1
cualquiera,37
secretario,65
ordenar,9
práctica,82
diligencias,41
estime,7
pertinente,14
elaborar,9
reportó,1
levantar,8
sesio,2
practicar,15
actuaciones,31
estudios,26
específicos,8
relatar,7
presentados,77
contó,25
vicios,3
abogado,69
especificas,1
fijadas,2
presidir,1
celebre,1
representar,6
oficialmente,46
extranjera,1
convocar,2
suscribir,1
comunicaciones,12
despache,1
entidades,15
públi,5
28,105
hizo,108
delegadas,4
agilizar,2
asegurar,23
oportunidad,36
decisiones,28
establecieron,22
conducir,2
gestionar,4
conjunto,100
operación,23
integran,1
organizar,6
coordinar,7
distribuyendo,1
tre,2
seleccionar,2
dirigir,6
mantener,38
relaciones,48
directas,8
inmediatas,7
procurar,4
otorgue,1
financiamiento,2
administrativo,18
fueran,49
necesarios,9
administrar,6
fondos,5
perjuicio,48
entregar,24
cuen,1
ta,7
mensual,2
hubiesen,15
proporcionado,2
sede,46
central,147
santiago,286
calle,192
moneda,41
1025,1
piso,63
desarrollaron,6
mayoría,294
narias,1
equipo,30
profesio,4
nales,13
integraron,8
través,112
realizó,58
organizativas,1
antes,206
publicación,21
constituyó,38
iniciar,5
día,1092
comenzar,8
programar,1
entrevista,34
empezar,3
siguien,2
atendió,2
42,41
gobernaciones,27
locales,30
designados,6
cada,231
provincia,119
población,165
contrataciones,2
profe,3
sionales,3
destinados,15
reforzar,6
recepción,17
desplazaron,1
apoyar,6
directamente,48
atención,90
efectuando,7
extraordinaria,6
160,5
visitas,38
106,5
localidades,55
apartadas,7
eran,1077
gobernación,30
residen,1
extranjero,24
estableció,37
coordinación,11
exteriores,10
recep,1
consulados,8
exterior,53
29,171
enlace,1
difusión,24
dirección,125
comunidad,41
dicoex,2
mi,236
nisterio,4
organización,54
organizacional,1
constituida,4
cuatro,142
áreas,5
docu,1
administración,26
finanzas,3
unidades,35
procesamiento,5
archivo,20
informático,2
área,30
objetivo,27
tarea,36
abarcó,2
territorio,41
provinciales,18
tuvo,96
responsabi,1
lidad,3
efectuó,9
gobernadores,4
designaron,2
reparticiones,3
dis,8
pusieron,32
equipamiento,1
trece,15
pro,34
vincias,2
contrató,4
quince,22
sedes,6
recibieron,46
colaboración,44
supervisión,10
directo,14
profesiona,2
exigían,2
reforzado,21
mayo,58
ría,9
abogados,45
psicólogos,2
asistentes,5
atendían,2
entrevistas,12
llamado,65
cobro,2
31,102
llegada,15
inscripción,26
previa,38
demanda,6
comprendió,2
diciembre,178
residentes,8
solicitaron,7
agendada,1
posterior,102
metropoli,2
tana,2
número,264
importante,83
extendió,6
esperado,3
mandaran,1
registro,44
cedentes,3
ficha,24
computacional,4
documental,15
estructurar,3
disponible,7
vali,1
corregir,2
complementar,2
documentación,27
recibidos,186
fuentes,67
confiables,18
documentales,2
presentado,37
estructuró,2
coordinaciones,3
organis,2
organizaciones,105
uso,108
datos,69
celebró,2
acuerdos,3
cooperación,15
entrega,35
vicaría,24
solidaridad,31
codepu,6
infancia,5
dañada,5
emergencia,81
pidee,4
convenio,3
universidad,86
alberto,91
hurtado,5
alumnos,15
investigó,5
oit,1
rescatando,1
nombres,41
dirigentes,64
sindicales,28
recurrió,9
vulnerados,1
prensa,183
épo,1
ca,19
custodia,59
entregó,39
registros,29
computacionales,2
integrados,1
base,196
realización,11
acceder,9
obispado,4
san,408
felipe,70
talca,69
copiapó,93
temuco,135
departamento,42
pastoral,5
obrera,2
concep,2
gran,163
importancia,27
cumentación,1
numerosos,88
validar,10
presentada,6
utilizaron,10
complementario,1
aparecen,25
libros,18
publicados,5
listados,9
elaborados,5
aparentemente,11
ejército,447
12000,1
rama,19
armada,142
gendarmería,38
distintas,82
penales,11
respuestas,20
numerosas,35
consultas,19
listas,14
entregadas,14
ingreso,52
cárcel,639
pública,226
ingresos,8
corte,140
apelaciones,53
entregada,35
civil,138
identificación,24
respuesta,38
sistematizada,3
reconcilia,2
estatales,42
ministe,3
rio,17
armadas,217
autorizaba,5
inciso,33
solicitada,4
distintos,101
empresas,20
tesorería,1
aduanas,15
empresa,106
na,13
minería,4
enami,3
corporación,61
cobre,7
codelco,3
ins,2
tituto,1
agropecuario,13
indap,14
impuestos,4
inter,6
32,55
comprendía,6
obtenidos,6
organismos,189
agrupaciones,20
ex,304
polí,6
ticos,4
biblioteca,3
literaria,2
época,161
regis,10
tro,3
internacio,6
cruz,68
roja,47
elaboró,4
incrementó,2
1000,11
utilizados,37
recogida,2
conformó,1
continuó,15
enriqueciendo,2
entregando,3
concurrían,4
preciso,23
señalar,104
formó,181
partir,108
donados,1
entregados,85
vinieron,4
escrito,17
obras,16
iniciativa,13
consejo,244
libro,37
reunió,12
editores,1
auto,20
ficción,2
testimoniales,1
solemne,3
120,3
celebración,7
mundial,9
respondió,20
35868,4
fichas,17
recibidas,46
35000,2
rela,6
cuyos,38
validados,4
asignación,1
cinco,117
jornadas,13
completas,4
apoyos,2
parciales,3
necesidad,49
evaluar,7
identificando,3
permitieran,16
mar,58
precalificación,17
esperaba,5
categorías,13
predeterminadas,2
fundada,9
proponerlos,1
análi,1
sis,2
33,49
inició,12
indagar,3
complejidad,3
integrando,1
reforzando,1
inicial,11
generó,7
formar,8
análisis,54
complejos,4
implicancias,2
procesales,7
connotación,4
organizaron,8
implicó,8
cierta,13
especialización,3
focalizando,1
comunas,14
trataba,62
